Block,Female,Haplotype,Male exposure,Vial,Female offspring,Male offspring,Other,Total offspring,Mortality
2,30,Israel,L,2,16,15,0,31,N
2,30,Israel,H,3,19,16,0,35,N
2,30,Israel,L,4,17,9,0,26,N
2,31,Israel,H,1,20,13,0,33,N
2,31,Israel,L,2,10,16,0,26,N
2,31,Israel,H,3,13,10,0,23,N
2,31,Israel,L,4,14,17,0,31,N
2,32,Israel,L,1,15,16,0,31,N
2,32,Israel,H,2,6,12,0,18,N
2,32,Israel,L,3,23,21,1,45,N
2,32,Israel,H,4,19,16,1,36,Y
2,33,Israel,L,1,13,12,0,25,N
2,33,Israel,H,2,10,14,0,24,N
2,33,Israel,L,3,18,21,0,39,N
2,33,Israel,H,4,16,20,0,36,N
2,34,Israel,L,1,17,11,1,29,N
2,34,Israel,H,2,6,13,0,19,N
2,34,Israel,L,3,12,21,0,33,N
2,34,Israel,H,4,10,9,0,19,N
2,35,Brownsville,H,1,12,9,0,21,N
2,35,Brownsville,L,2,7,3,0,10,N
2,35,Brownsville,H,3,8,10,0,18,N
2,35,Brownsville,L,4,16,10,0,26,N
2,36,Brownsville,H,1,19,13,0,32,N
2,36,Brownsville,L,2,17,12,0,29,N
2,36,Brownsville,H,3,19,13,0,32,N
2,36,Brownsville,L,4,16,15,0,31,N
2,37,Brownsville,H,1,7,13,0,20,N
2,37,Brownsville,L,2,9,7,0,16,N
2,37,Brownsville,H,3,11,21,1,33,N
2,37,Brownsville,L,4,15,27,0,42,N
2,38,Brownsville,L,1,18,15,0,33,N
2,38,Brownsville,H,2,8,7,0,15,N
2,38,Brownsville,L,3,12,20,0,32,N
2,38,Brownsville,H,4,16,21,0,37,N
2,39,Brownsville,L,1,3,18,0,21,N
2,39,Brownsville,H,2,7,11,0,18,N
2,39,Brownsville,L,3,14,14,0,28,N
2,39,Brownsville,H,4,14,21,0,35,N
2,40,Barcelona,H,1,9,11,0,20,N
2,40,Barcelona,L,2,9,12,1,22,N
2,40,Barcelona,H,3,3,5,1,9,N
2,40,Barcelona,L,4,1,0,0,1,Y
2,41,Barcelona,H,1,13,18,0,31,N
2,41,Barcelona,L,2,10,10,0,20,N
2,41,Barcelona,H,3,12,16,3,31,N
2,41,Barcelona,L,4,17,8,1,26,N
2,42,Barcelona,H,1,46,27,0,73,N
2,42,Barcelona,L,2,6,13,0,19,N
2,42,Barcelona,H,3,8,16,0,24,N
2,42,Barcelona,L,4,4,10,0,14,N
2,43,Barcelona,L,1,20,9,0,29,N
2,43,Barcelona,H,2,1,5,2,8,N
2,43,Barcelona,L,3,2,5,0,7,N
2,43,Barcelona,H,4,3,3,0,6,N
2,44,Barcelona,L,1,17,18,0,35,N
2,44,Barcelona,H,2,10,10,0,20,N
2,44,Barcelona,L,3,22,17,0,39,N
2,44,Barcelona,H,4,14,16,0,30,N
4,45,Dahomey,H,1,8,11,0,19,N
4,45,Dahomey,L,2,6,14,0,20,N
4,45,Dahomey,H,3,12,6,0,18,N
4,45,Dahomey,L,4,18,15,0,33,N
4,46,Dahomey,H,1,3,5,0,8,N
4,46,Dahomey,L,2,6,11,0,17,N
4,46,Dahomey,H,3,4,6,0,10,N
4,46,Dahomey,L,4,0,0,0,0,N
4,47,Dahomey,L,1,11,12,0,23,N
